nodes	id	label
http://www.disit.org/km4city/resource/Event_26034_52a9e78a42c3ff49737b31611178f6fe	8696	"Musica rock, jazz, pop, etnica"@it
http://www.disit.org/km4city/resource/Event_26760_652aaad4c569d49d61e11b2c27eecf2e	7034	"Readings, Conferenze, Convegni"@it
http://www.disit.org/km4city/resource/Event_25898_489abe8d0a2ba548483d2c73b7db7b70	7887	"Aperture straordinarie, visite guidate"@it
http://www.disit.org/km4city/resource/Event_33760_644257f4ea21a3c8327dd9948910f467	11065	"Musica Classica, Opera e Balletto"@it
http://www.disit.org/km4city/resource/Event_25474_c9cb918ddcf25b4510c82e5449a592f9	4512	"Teatro"@it
http://www.disit.org/km4city/resource/Event_25863_582b5daea0193a256d1cbbf1e4459b06	2137	"Musica rock, jazz, pop, etnica"@it
http://www.disit.org/km4city/resource/Event_26905_4c41e25185607d21da85133f9609ec21	5782	"Musica classica, opera e balletto"@it
http://www.disit.org/km4city/resource/Event_23817_01f53c0d87cde404012a601aa1404a75	3686	"Mostre"@it
http://www.disit.org/km4city/resource/Event_17719_5408dd1e4faa1407a11dc9eb1473bd16	1329	"Sport"@it
http://www.disit.org/km4city/resource/Event_26268_aaf380b795d2d0500e492092998d588d	1186	"Mostre"@it
http://www.disit.org/km4city/resource/Event_21193_719b25c1d7cf8a2fd31451e4e8185e6b	389	"Musica rock, jazz, pop, contemporanea"@it
http://www.disit.org/km4city/resource/Event_26040_a54f83b9366a17f19b715660afda237e	5431	"Teatro"@it
http://www.disit.org/km4city/resource/Event_26613_6bb5dcb141963b522566d3bc31b1919a	5712	"Musica rock, jazz, pop, etnica"@it
http://www.disit.org/km4city/resource/Event_45697_6d28b8396253bc283ed14251e88c2546	7644	"Sport &amp; Walking"@it
http://www.disit.org/km4city/resource/Event_24490_0fdc528854cc8b7e766ee98f3f3e1500	2295	"Aperture straordinarie, visite guidate"@it
http://www.disit.org/km4city/resource/Event_21693_0f84d1130e9af6fc975156be8ed41c10	5743	"Teatro"@it
http://www.disit.org/km4city/resource/Event_18318_2ec742d78f1cf7793ecc48a86348109b	3619	"Musica classica, opera e balletto"@it
http://www.disit.org/km4city/resource/Event_27887_321a5e8b5da2f27576f43cf423bb5acb	6261	"Fiere, mercati"@it
http://www.disit.org/km4city/resource/Event_38803_edb1b4bb9092d37de5ed5601288f8eb7	10641	"Teatro"@it
http://www.disit.org/km4city/resource/Event_26446_263cc54210a751c27bf7f37aa0305d2b	5451	"Fiere, mercati"@it
http://www.disit.org/km4city/resource/Event_21696_6c313b93c16bcb41060b4452029c6e71	4565	"Musica classica, opera e balletto"@it
http://www.disit.org/km4city/resource/Event_17457_ee3eab8d33a3b1aa6d712437f193e410	186	"Fiere, mercati"@it
http://www.disit.org/km4city/resource/Event_25860_74a5ef1bf357609791fcfb6fffac3848	4861	"Teatro"@it
http://www.disit.org/km4city/resource/Event_16617_30b60daa3f340c0437dbba0b98ee8c71	799	"Musica classica, opera e balletto"@it
http://www.disit.org/km4city/resource/Event_24253_d7b7493ffbb13f6e5c161bca44ea9768	7700	"Aperture straordinarie, visite guidate"@it
http://www.disit.org/km4city/resource/Event_26545_68d09b282b5999405ec4c0d605ebc9eb	7255	"Film festival"@it
http://www.disit.org/km4city/resource/Event_26568_c6cb9a29bfcc212418b54cbecd1e471d	5497	"Readings, Conferenze, Convegni"@it
http://www.disit.org/km4city/resource/Event_26492_069f8fd45a9c4f93d85705099d70f6ae	7243	"Walking"@it
http://www.disit.org/km4city/resource/Event_27061_b11d09340622c4b858d309d899704c27	7064	"Film festival"@it
http://www.disit.org/km4city/resource/Event_27263_b2f34c03f2d2a1adcd3f248b938d1ab0	8549	"Teatro"@it
http://www.disit.org/km4city/resource/Event_24589_03cad2b2ba235b9fc11c3662edc883b9	4170	"Altri eventi"@it
