nodes	id	label
http://www.disit.org/km4city/resource/Event_18197_7d3bf073f23457158538ec01e53543eb	829	"Film festival"@it
http://www.disit.org/km4city/resource/Event_27110_56fc18545688aa3a84d3b16355be0359	6899	"Musica classica, opera e balletto"@it
http://www.disit.org/km4city/resource/Event_25721_a15016933e55024a496cd83be5ed8c3e	9056	"Fiere, mercati"@it
http://www.disit.org/km4city/resource/Event_43498_d5dff1773100962f39427eec0f58a604	11740	"Readings, Conferenze, Convegni"@it
http://www.disit.org/km4city/resource/Event_21696_d7084561ba34a9f49efb024d907e3b51	5069	"Musica classica, opera e balletto"@it
http://www.disit.org/km4city/resource/Event_26341_9deaa59294dd24c72b0bcdd403f89697	88	"Musica classica, opera e balletto"@it
http://www.disit.org/km4city/resource/Event_26592_c4d58a0095af4524c067316f62dbbccd	6681	"Aperture straordinarie, visite guidate"@it
http://www.disit.org/km4city/resource/Event_32291_4375f4ad8870266a8cbccd33e4072712	10832	"Musica Classica, Opera e Balletto"@it
http://www.disit.org/km4city/resource/Event_25024_d0efe2a0a819595045a6dd9b818ed4f1	6575	"Aperture straordinarie, visite guidate"@it
http://www.disit.org/km4city/resource/Event_27385_70c208af6a8a687b735a1167d4601e31	8578	"Film festival"@it
http://www.disit.org/km4city/resource/Event_22857_3710ddeb91163fa4c0be74ed08c295e9	2862	"Mostre"@it
http://www.disit.org/km4city/resource/Event_24552_739dbda3e3b56ff079c3ec11a42040a2	4186	"Walking"@it
http://www.disit.org/km4city/resource/Event_27929_38ec569bae1a737603bdcaa83fa3710b	9069	"Mostre"@it
http://www.disit.org/km4city/resource/Event_15164_ed956ca0ed87a555b34a5af922a19dea	486	"Aperture straordinarie, visite guidate"@it
http://www.disit.org/km4city/resource/Event_28369_ff1603c925b5eb21c4fddca0d8a40877	9302	"Musica rock, jazz, pop, etnica"@it
http://www.disit.org/km4city/resource/Event_17118_68340401e85b835fd9e753ed25e46d62	2113	"Altri eventi"@it
http://www.disit.org/km4city/resource/Event_24226_cdb8401fdef97ec1eabaebc9fee698d4	3798	"Musica classica, opera e balletto"@it
